EUR/USD,20160729 20:50:45.494,1.1176,1.11767
EUR/USD,20160729 20:50:46.209,1.1176,1.11767
EUR/USD,20160729 20:50:47.104,1.11761,1.11767
EUR/USD,20160729 20:50:47.127,1.11759,1.11766
EUR/USD,20160729 20:50:47.316,1.11759,1.11766
EUR/USD,20160729 20:50:47.524,1.1176,1.11767
EUR/USD,20160729 20:50:47.549,1.1176,1.11767
EUR/USD,20160729 20:50:47.733,1.1176,1.11767
EUR/USD,20160729 20:50:48.393,1.1176,1.11767
EUR/USD,20160729 20:50:49.342,1.11766,1.11767
EUR/USD,20160729 20:50:49.345,1.11766,1.11768
EUR/USD,20160729 20:50:49.436,1.11766,1.11768
EUR/USD,20160729 20:50:49.555,1.11766,1.11769
EUR/USD,20160729 20:50:49.628,1.11766,1.11769
EUR/USD,20160729 20:50:49.865,1.11766,1.11769
EUR/USD,20160729 20:50:51.196,1.11766,1.11769
EUR/USD,20160729 20:50:51.852,1.11766,1.11769
EUR/USD,20160729 20:50:52.185,1.11766,1.11769
EUR/USD,20160729 20:50:52.812,1.11763,1.11769
EUR/USD,20160729 20:50:52.826,1.11763,1.11769
EUR/USD,20160729 20:50:53.066,1.11763,1.11769
EUR/USD,20160729 20:50:53.274,1.11763,1.11768
EUR/USD,20160729 20:50:53.480,1.11762,1.11768
EUR/USD,20160729 20:50:55.445,1.11762,1.11768
EUR/USD,20160729 20:50:56.130,1.11762,1.11768
EUR/USD,20160729 20:50:56.344,1.11762,1.11768
EUR/USD,20160729 20:50:56.600,1.11762,1.11768
EUR/USD,20160729 20:50:56.844,1.11762,1.11768
EUR/USD,20160729 20:50:56.857,1.11762,1.11769
EUR/USD,20160729 20:50:56.985,1.11762,1.11768
EUR/USD,20160729 20:50:56.986,1.11761,1.11768
EUR/USD,20160729 20:50:57.035,1.11761,1.11768
EUR/USD,20160729 20:50:57.187,1.11761,1.11768
EUR/USD,20160729 20:50:57.273,1.11761,1.11768
EUR/USD,20160729 20:50:58.933,1.11761,1.11768
EUR/USD,20160729 20:50:59.897,1.11762,1.11768
EUR/USD,20160729 20:50:59.954,1.11762,1.11768
EUR/USD,20160729 20:51:00.118,1.11761,1.11768
EUR/USD,20160729 20:51:00.119,1.11761,1.11767
EUR/USD,20160729 20:51:00.583,1.11761,1.11767
EUR/USD,20160729 20:51:00.825,1.1176,1.11767
EUR/USD,20160729 20:51:00.999,1.1176,1.11766
EUR/USD,20160729 20:51:01.044,1.1176,1.11766
EUR/USD,20160729 20:51:01.192,1.1176,1.11766
EUR/USD,20160729 20:51:01.885,1.1176,1.11767
EUR/USD,20160729 20:51:01.929,1.1176,1.11767
EUR/USD,20160729 20:51:02.162,1.1176,1.11767
